,title,release_date,genre,run_time,certification,user_score,original_language,movie_budget,movie_revenue,keywords,actors,director_list
0,The Angry Birds Movie 2,08/14/2019 ,"['Animation', 'Comedy', 'Adventure', 'Family']",1h 36m,PG,69,English,65000000,131359052,"['island', 'sequel', 'rivalry', 'family', 'angry bird']","['Jason Sudeikis', 'Josh Gad', 'Leslie Jones', 'Bill Hader', 'Rachel Bloom', 'Awkwafina', 'Sterling K. Brown', 'Eugenio Derbez']",['Thurop Van Orman']
0,The Killing of a Sacred Deer,11/03/2017 ,"['Drama', 'Thriller', 'Mystery']",2h 1m,R,69,English,,2291901,"['husband wife relationship', 'hostage', 'blackmail', 'surgeon', 'paralysis', 'insanity', 'revenge', 'dysfunctional family', 'hospital', 'cruelty', 'brutality', 'cafe', 'cardiologist', 'recovering alcoholic', 'open heart surgery']","['Colin Farrell', 'Nicole Kidman', 'Barry Keoghan', 'Raffey Cassidy', 'Sunny Suljic', 'Alicia Silverstone', 'Bill Camp', 'Barry G. Bernson']",['Yorgos Lanthimos']
0,The Best Exotic Marigold Hotel,05/25/2012 ,"['Drama', 'Comedy']",2h 4m,PG-13,69,English,10000000,136836156,"['holiday', 'hotel', 'based on novel or book', 'asia', 'operation', 'married couple', 'racist', 'india', 'ensemble cast', 'elderly', 'jaipur india', 'personal growth', 'outsourcing']","['Bill Nighy', 'Maggie Smith', 'Tom Wilkinson', 'Judi Dench', 'Dev Patel', 'Penelope Wilton', 'Ramona Marquez', 'Celia Imrie']",['John Madden']
0,An Education,10/30/2009 ,"['Drama', 'Romance']",1h 40m,PG-13,69,English,7500000,26096852,"['adolescence', 'age difference', 'parent child relationship', 'self-discovery', 'coming of age', 'based on memoir or autobiography', 'love affair', 'youth', 'family', 'woman director', 'teaching the ways of the world', 'love and romance', 'teenage life']","['Carey Mulligan', 'Peter Sarsgaard', 'Dominic Cooper', 'Rosamund Pike', 'Olivia Williams', 'Alfred Molina', 'Cara Seymour', 'Sally Hawkins']",['Lone Scherfig']
0,Beauty and the Beast,03/17/2017 ,"['Family', 'Fantasy', 'Romance']",2h 9m,PG,69,English,160000000,1263521126,"['magic', 'castle', 'fairy tale', 'musical', 'transformation', 'cartoon', 'remake', 'curse', 'creature', '18th century', 'beast', 'live action remake']","['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Kevin Kline', 'Josh Gad', 'Ewan McGregor', 'Stanley Tucci', 'Audra McDonald']",['Bill Condon']
0,The Walk,10/02/2015 ,"['Adventure', 'Drama', 'Thriller']",2h 3m,PG,69,English,35000000,61181942,"['new york city', '1970s', 'skyscraper', 'biography', 'based on a true story', 'tightrope', 'planning', 'world trade center', 'trespass']","['Joseph Gordon-Levitt', 'Ben Kingsley', 'Charlotte Le Bon', 'James Badge Dale', 'Clément Sibony', 'César Domboy', 'Benedict Samuel', 'Ben Schwartz']",['Robert Zemeckis']
0,Flight of the Navigator,07/30/1986 ,"['Family', 'Science Fiction', 'Adventure']",1h 30m,PG,69,English,9000000,18564613,"['artificial intelligence', 'farewell', 'homesickness', 'florida', 'nasa', 'extraterrestrial technology', 'flying saucer', 'time travel', 'alien', 'dog', 'alien technology']","['Joey Cramer', 'Paul Reubens', 'Cliff DeYoung', 'Veronica Cartwright', 'Sarah Jessica Parker', 'Matt Adler', 'Howard Hesseman', 'Robert Small']",['Randal Kleiser']
0,Son of Batman,05/13/2014 ,"['Animation', 'Action', 'Adventure']",1h 14m,PG-13,69,English,,,"['dc comics', 'superhero', 'based on comic', 'robin', 'super power', 'father son reunion', 'dc animated movie universe']","[""Jason O'Mara"", 'Stuart Allan', 'Thomas Gibson', 'Morena Baccarin', 'Giancarlo Esposito', 'David McCallum', 'Xander Berkeley', 'Sean Maher']",['Ethan Spaulding']
0,Ruby Red,04/04/2013 ,"['Fantasy', 'Adventure', 'Family', 'Drama', 'Science Fiction', 'Romance']",2h 2m,12,69,German,,,"['time traveler', 'teenage romance']","['Maria Ehrich', 'Jannis Niewöhner', 'Laura Berlin', 'Uwe Kockisch', 'Josefine Preuß', 'Florian Bartholomäi', 'Katharina Thalbach', 'Veronica Ferres']",['Felix Fuchssteiner']
0,RockNRolla,10/30/2008 ,"['Action', 'Crime', 'Thriller']",1h 54m,R,69,English,18000000,25739015,"['london, england', 'gang leader', 'money', 'gang']","['Gerard Butler', 'Tom Wilkinson', 'Thandie Newton', 'Mark Strong', 'Idris Elba', 'Tom Hardy', 'Toby Kebbell', 'Jeremy Piven']",['Guy Ritchie']
0,Runaway Jury,10/09/2003 ,"['Drama', 'Thriller']",2h 7m,PG-13,69,English,60000000,80154140,"['court case', 'gun rampage', 'firearm', 'jury', 'person running amok', 'lobbyist', 'legal thriller']","['John Cusack', 'Gene Hackman', 'Dustin Hoffman', 'Rachel Weisz', 'Bruce Davison', 'Bruce McGill', 'Jeremy Piven', 'Nick Searcy']",['Gary Fleder']
0,This Is It,10/28/2009 ,"['Music', 'Documentary']",1h 51m,PG,69,English,60000000,261200000,"['pop star', 'music', 'concert', 'aftercreditsstinger', 'duringcreditsstinger']","['Michael Jackson', 'Orianthi', 'Kenny Ortega', 'Dorian Holley', 'Patrick Woodroffe', 'Bashiri Johnson', 'Mo Pleasure', 'Jonathan Moffett']",['Kenny Ortega']
0,Friday Night Lights,10/08/2004 ,['Drama'],1h 58m,PG-13,69,English,30000000,61255921,"['american football', 'based on novel or book', 'texas', 'career', 'season', 'comeback', 'sports', 'high school', 'coach', 'party', 'true', 'racism', 'teenager', 'team', 'drunk', 'injury', 'quarterback']","['Billy Bob Thornton', 'Lucas Black', 'Garrett Hedlund', 'Derek Luke', 'Jay Hernandez', 'Lee Thompson Young', 'Tim McGraw', 'Stephen Bishop']",['Peter Berg']
0,Pocahontas,06/23/1995 ,"['Adventure', 'Animation', 'Family', 'Romance']",1h 21m,G,69,English,55000000,346079773,"['culture clash', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'native american', 'colonisation', 'virginia', 'star crossed lovers', 'intercultural relationship', 'based on myths, legends or folklore', '17th century', 'shamanism', 'animal sidekick']","['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir', 'Russell Means', 'Christian Bale', 'Judy Kuhn', 'Linda Hunt']","['Eric Goldberg', 'Mike Gabriel']"
